parent_class_p	log2FC_p	padj_p	parent_class_h	log2FC_h	padj_h	gene_id	classification
136	equal	-0.321795912970498	0.552117041993345	equal	-0.491257859574661	0.870442976778318	lcl|NC_030664.1_cds_XP_017612580.1_175	PEI eq
137	equal	0.6807143170411	0.119443414295743	equal	-0.210812102391319	0.907678157691982	lcl|NC_030664.1_cds_XP_017624183.1_176	PEI eq
139	equal	-0.903278528688691	3.09322921222089e-06	equal	0.741293578230016	0.152532005866116	lcl|NC_030664.1_cds_XP_017602790.1_178	PEI eq
141	equal	0.299045966111049	0.375032390428154	equal	0.143387167639639	0.944633779031992	lcl|NC_030664.1_cds_XP_017606145.1_180	PEI eq
142	G_arboreum	1.416498687119	2.38035662318598e-05	equal	-0.117956213130269	0.954363479022016	lcl|NC_030664.1_cds_XP_017640538.1_181	HEBl
151	equal	-0.231714682189398	0.647968992718666	equal	0.713206411645481	0.684450402151605	lcl|NC_030664.1_cds_XP_017604689.1_192	PEI eq
159	equal	-0.448737760618537	0.244239658758764	equal	-0.181347365218336	0.922201894862059	lcl|NC_030664.1_cds_XP_017604393.1_203	PEI eq
160	equal	0.55428227437284	0.0959386317316469	equal	0.759475088115768	0.285503846951987	lcl|NC_030664.1_cds_XP_017604454.1_207	PEI eq
161	equal	-0.59037544521851	0.0590145212391756	equal	0.0726997542268326	0.965840989785523	lcl|NC_030664.1_cds_XP_017604447.1_208	PEI eq
165	equal	-0.452709940761755	0.423428973562887	G_arboreum	4.26225424065142	0.0157074426519917	lcl|NC_030664.1_cds_XP_017639792.1_212	HEBi
170	equal	0.101918320997553	0.920325337394723	equal	0.483225590331319	0.917575242527806	lcl|NC_030664.1_cds_XP_017648944.1_217	PEI eq
171	equal	0.104991612734886	0.819254245972481	equal	0.490264113597676	0.409787956453388	lcl|NC_030664.1_cds_XP_017648885.1_218	PEI eq
172	equal	-0.845204412024644	0.000209612773977476	equal	-0.281187277612658	0.789374033783332	lcl|NC_030664.1_cds_XP_017611982.1_220	PEI eq
174	equal	0.967978984660941	8.78330666924016e-05	G_arboreum	1.09007166162305	0.041972743155667	lcl|NC_030664.1_cds_XP_017627049.1_223	HEBi
175	equal	0.288602635284534	0.488959557502366	equal	1.00375095941322	0.495043306089263	lcl|NC_030664.1_cds_XP_017608870.1_224	PEI eq
180	G_arboreum	1.41570397313033	7.6084577145509e-06	equal	-1.53809637727071	0.344516688966121	lcl|NC_030664.1_cds_XP_017640369.1_229	HEBl
185	G_raimondii	-1.93176618170323	6.31486372752677e-11	equal	-1.01308881838084	0.563006850221457	lcl|NC_030664.1_cds_XP_017648510.1_234	HEBl
187	G_raimondii	-3.07489661211428	3.84280030953548e-20	equal	0.643324768634509	0.815850343130455	lcl|NC_030664.1_cds_XP_017627060.1_236	HEBl
191	equal	-0.336522751097825	0.429237830980983	equal	-1.02793923891464	0.564350057997044	lcl|NC_030664.1_cds_XP_017605455.1_241	PEI eq
192	equal	-0.125984185616378	0.854291003345194	equal	-0.593616220676131	0.856730826875639	lcl|NC_030664.1_cds_XP_017605462.1_242	PEI eq
199	G_arboreum	1.35921421637528	4.60915553151766e-05	equal	0.498536143157167	0.679576726034834	lcl|NC_030664.1_cds_XP_017623119.1_250	HEBl
203	equal	0.388441487808421	0.464291640417441	equal	0.259499705885589	0.928089834048743	lcl|NC_030664.1_cds_XP_017640354.1_254	PEI eq
211	equal	-0.0950039874183756	0.895531302689104	equal	1.34891625983588	0.0895485925954881	lcl|NC_030664.1_cds_XP_017645418.1_265	PEI eq
213	equal	0.538708099898883	0.0666971343602511	equal	0.532009110090209	0.568250252367938	lcl|NC_030664.1_cds_XP_017610402.1_267	PEI eq
216	equal	0.336793252988966	0.45022954205444	equal	-0.573758468412189	0.630212342274485	lcl|NC_030664.1_cds_XP_017606454.1_271	PEI eq
221	equal	0.739715766935113	0.0270031826967563	equal	-0.061167552622511	0.973397898344984	lcl|NC_030664.1_cds_XP_017623259.1_276	PEI eq
224	equal	0.486171481535704	0.134933345463084	equal	0.808926752274209	0.215675306207288	lcl|NC_030664.1_cds_XP_017614852.1_280	PEI eq
229	equal	-0.779669356639382	0.00604493405658542	equal	-0.767098373234332	0.552591858807512	lcl|NC_030664.1_cds_XP_017603779.1_293	PEI eq
232	equal	-0.534574657009388	0.0481702799624477	equal	-0.0257739205465886	0.988541432174526	lcl|NC_030664.1_cds_XP_017603682.1_298	PEI eq
233	equal	0.324085926480433	0.555652110036225	equal	-0.0122905122336657	0.997005055513963	lcl|NC_030664.1_cds_XP_017614634.1_299	PEI eq
237	equal	-0.539370860914275	0.127635953410492	equal	0.232905757660974	0.936300723277109	lcl|NC_030664.1_cds_XP_017610276.1_305	PEI eq
238	equal	0.282738151231103	0.505216161898107	equal	0.783963112864206	0.226338393662295	lcl|NC_030664.1_cds_XP_017608419.1_306	PEI eq
240	equal	-0.0257024660991005	0.979661499720054	equal	-1.58220752995363	0.572073912771877	lcl|NC_030664.1_cds_XP_017623353.1_308	PEI eq
242	equal	-0.297921019642227	0.786371865446899	G_arboreum	6.27648853483577	0.00521065587505995	lcl|NC_030664.1_cds_XP_017625562.1_310	HEBi
244	equal	0.201062834797745	0.753511488455577	equal	-0.668369401338676	0.591709234535874	lcl|NC_030664.1_cds_XP_017639573.1_313	PEI eq
249	equal	-0.231752743557202	0.742281780670781	equal	-0.348233458208366	0.913120989890337	lcl|NC_030664.1_cds_XP_017640967.1_319	PEI eq
251	G_raimondii	-1.20367799982855	0.00012210069177544	equal	0.0243430985209113	0.991647698430279	lcl|NC_030664.1_cds_XP_017607496.1_322	HEBl
255	equal	-0.348939895031577	0.135900216640824	equal	-0.286374499020646	0.718094497660996	lcl|NC_030664.1_cds_XP_017604069.1_327	PEI eq
258	equal	0.451209043602357	0.211541239722943	equal	-0.206692678693201	0.911232371123622	lcl|NC_030664.1_cds_XP_017627423.1_330	PEI eq
267	equal	0.734851550779576	0.142527588106171	G_arboreum	3.36811360752701	1.53266508555451e-06	lcl|NC_030664.1_cds_XP_017623904.1_342	HEBi
270	G_arboreum	2.17777810003737	2.86355643357835e-10	equal	-0.0111688258667807	0.997005055513963	lcl|NC_030664.1_cds_XP_017645960.1_345	HEBl
279	G_arboreum	3.53933917468162	9.83368098570562e-30	G_arboreum	1.59894058445586	0.0176566701786828	lcl|NC_030664.1_cds_XP_017640805.1_357	PEI de
283	G_raimondii	-1.0631167158868	0.0337809295045835	equal	-1.15399951087938	0.597722172097314	lcl|NC_030664.1_cds_XP_017640821.1_363	HEBl
292	equal	-0.983006070149676	0.0020488281543292	equal	1.52475011012101	0.0784866683075546	lcl|NC_030664.1_cds_XP_017640980.1_379	PEI eq
302	equal	-0.890658243973953	0.110184435777116	equal	-0.799143374340782	0.538795519881714	lcl|NC_030664.1_cds_XP_017607793.1_395	PEI eq
312	equal	-0.0460083836236351	0.956708046598187	equal	-0.672972426976777	0.811638035791135	lcl|NC_030664.1_cds_XP_017621552.1_406	PEI eq
314	G_raimondii	-1.35076024462775	5.96143014309072e-06	equal	-0.887068780743114	0.626399831892998	lcl|NC_030664.1_cds_XP_017634832.1_410	HEBl
316	equal	0.0636619353326775	0.897989122846442	equal	-0.0280952060899064	0.987679981203811	lcl|NC_030664.1_cds_XP_017639898.1_412	PEI eq
320	equal	-0.134028848077499	0.765321081693687	equal	0.1123507078702	0.947753634251432	lcl|NC_030664.1_cds_XP_017639718.1_419	PEI eq
322	equal	-0.774071374231386	0.0287718371632618	equal	0.286839979759824	0.910038899873695	lcl|NC_030664.1_cds_XP_017637106.1_421	PEI eq
326	equal	0.240440195143588	0.782409419362166	equal	0.539789111244879	0.769454283797258	lcl|NC_030664.1_cds_XP_017639681.1_430	PEI eq
332	equal	-0.970308572966885	0.000286061818318995	equal	-1.09771764050644	0.190753178054389	lcl|NC_030664.1_cds_XP_017613794.1_437	PEI eq
340	equal	-0.795490070076516	0.0101747966233042	equal	0.550966307078683	0.736276910306848	lcl|NC_030664.1_cds_XP_017606711.1_447	PEI eq
341	equal	-0.621829398417558	0.110489081932049	equal	0.522895170369816	0.880437264747595	lcl|NC_030664.1_cds_XP_017611034.1_448	PEI eq
342	equal	-0.184957515185342	0.734174919337435	equal	-0.517803272760995	0.523418291685912	lcl|NC_030664.1_cds_XP_017622574.1_449	PEI eq
